"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.539859823E2,6.500006348E1,2.559353976E1,2.931867016E1,1.324489236E0,2.870711136E1,4.699999809E0,0.000000000E0
1.549816661E2,6.500007226E1,2.559356105E1,2.893347978E1,1.369467139E0,3.797737503E1,4.699999809E0,0.000000000E0
1.559774166E2,6.500007934E1,2.559358798E1,2.894080625E1,1.401800871E0,5.126439667E1,4.699999809E0,0.000000000E0
1.569747890E2,6.500008664E1,2.559361527E1,2.855270492E1,1.425334215E0,4.903571320E1,4.699999809E0,0.000000000E0
1.580135791E2,6.500009253E1,2.559364499E1,2.816852900E1,1.439426422E0,5.623621368E1,4.699999809E0,0.000000000E0
1.589854786E2,6.500009853E1,2.559367406E1,2.798558603E1,1.445735097E0,5.466443634E1,4.699999809E0,0.000000000E0
1.599878677E2,6.500010497E1,2.559370200E1,2.779613522E1,1.456967950E0,5.258732605E1,4.699999809E0,0.000000000E0
1.609740718E2,6.500011058E1,2.559373088E1,2.760064585E1,1.465334058E0,5.803564453E1,4.699999809E0,0.000000000E0
1.619821182E2,6.500011671E1,2.559375848E1,2.743831766E1,1.466635942E0,5.539905167E1,4.699999809E0,0.000000000E0
1.629846838E2,6.500012281E1,2.559378564E1,2.751767350E1,1.466807723E0,5.610665894E1,4.699999809E0,0.000000000E0
1.639898328E2,6.500012842E1,2.559381316E1,2.758546326E1,1.466556311E0,5.963280869E1,4.699999809E0,0.000000000E0
1.649855021E2,6.500013387E1,2.559384037E1,2.754798273E1,1.466914177E0,6.152957153E1,4.699999809E0,0.000000000E0
1.659810698E2,6.500014008E1,2.559386603E1,2.773922761E1,1.466102958E0,5.749436951E1,4.699999809E0,0.000000000E0
1.669881114E2,6.500014523E1,2.559389290E1,2.793776633E1,1.461860657E0,6.228256226E1,4.699999809E0,0.000000000E0
1.679860578E2,6.500015135E1,2.559391821E1,2.810914816E1,1.464612603E0,5.550320816E1,4.699999809E0,0.000000000E0
1.689864812E2,6.500015539E1,2.559394598E1,2.824580125E1,1.469338655E0,6.630384827E1,4.699999809E0,0.000000000E0
1.699877515E2,6.500015948E1,2.559397345E1,2.838852736E1,1.468162060E0,6.517704773E1,4.699999809E0,0.000000000E0
1.709933640E2,6.500016316E1,2.559400125E1,2.863417789E1,1.467318296E0,6.648690796E1,5.761883259E0,0.000000000E0
1.719863968E2,6.500016613E1,2.559402553E1,2.883925976E1,1.244529486E0,6.669483948E1,7.563453197E0,0.000000000E0
